Product Name,Supplier Location,Quantity,Blockchain Transaction ID,Transportation Mode,Production Date,Transaction Date,Delivery Date,Soil Quality,Crop Health,pesticides used or not for growing crop,Total Supply Chain Days took to Deliver Product,Quality Assessment
Soybeans,Aurangabad,5398,0xcf7c1a856dbb810259b2d1fab6dc20fe95e840ef0b2ec5c7af1a9aa2e13b2fa4,Truck,2022-10-02,2022-10-22,2022-11-11,High,Stunted,used,40,High
Rice,Navi Mumbai,9903,0x210808e207b1b301261654371da4ddbfa748d3b3551b8643b3f5dc5284069dd6,Air,2023-12-04,2024-01-08,2024-03-06,Medium,Stunted,not_used,93,Medium
Rice,Pune,7221,0x0ef10003600ece36c5dd8e9cfa35c5affaebbc6ce34c28b46c51d69876e34946,Ship,2021-06-04,2021-08-25,2021-11-22,High,Infected,not_used,171,Low
Wheat,Visakhapatnam,3427,0xfa168c7d5ba5e774fc44ee90fc2d38c3185df5275f9db83cbdf3a7cece3772e2,Ship,2022-11-04,2022-11-25,2022-12-10,Low,Stunted,used,36,High
Lettuce,Kalyan-Dombivali,3126,0x4925f689bcb5b8dd235100c19dc3129f4624c6d7ad03fb14633f35779be66722,Truck,2021-01-01,2021-03-08,2021-05-19,Medium,Infected,not_used,138,Low
Wheat,Chennai,2288,0x0d831504e21c35bc2cd9c3842ba6e2854770f44058a718ecd5033b0dfbb70158,Air,2021-02-07,2021-03-04,2021-03-16,Low,Healthy,not_used,37,High
Soybeans,Meerut,8552,0x936bb925cd1935b608deb35174557ba63fb1480f8b6d384f0731853c1a5cccbe,Ship,2022-03-03,2022-03-19,2022-04-03,Medium,Healthy,not_used,31,High
Wheat,Coimbatore,2010,0xb92581154cf2925ef087c56fbe3b35c5ed537dcebcd0dffcfe51822dc657297e,Ship,2023-01-05,2023-03-06,2023-04-28,High,Stunted,not_used,113,Medium
Potatoes,Visakhapatnam,9994,0x18f3abb9d494a01b01babca8203592ca044138fed932a26a6e65d3c6107c0ba0,Ship,2021-12-03,2021-12-14,2022-01-11,High,Infected,not_used,39,High
Rice,Navi Mumbai,4489,0x406c071c1bd2c818b9a8e10d80499b836d9a295a852eeeb6827ba35bca014dce,Air,2020-06-03,2020-06-20,2020-07-16,Low,Infected,not_used,43,High
Soybeans,Jodhpur,5368,0x2de1965afc307623a5c844b5b98320cff036e16f94e97056e9c9e570694f4fd0,Air,2023-08-07,2023-10-26,2023-12-28,Medium,Infected,not_used,143,Low
Soybeans,Aurangabad,1391,0x6e65c86d07beb4dbc9f7813e599cb5b6d711e3f537ab5f68a72ac7b5fc5bff02,Truck,2021-10-01,2021-11-17,2021-12-30,High,Stunted,used,90,Medium
Lettuce,Indore,2640,0xc6e2603f3528b7bad684b36e3d7bb41997bcd8614ce546295ed7473427ab4568,Air,2020-01-06,2020-04-05,2020-06-11,Low,Healthy,used,157,Low
Tomatoes,Vadodara,7246,0xe1c4fc11def0c366cd874abf05f7bfea6c7c79c7a810cc0aefda8d477d73a855,Ship,2022-11-02,2022-12-10,2023-01-25,Low,Infected,not_used,84,Medium
Tomatoes,Kanpur,9985,0x47aa09850369787e76f9de3981930146173908f0a825f259ec603c6f59bc6755,Air,2022-03-02,2022-04-08,2022-05-10,Medium,Stunted,used,69,Medium
Soybeans,Indore,5961,0xd6bb22920db71fb9f655d7f5ad14d65f9246ca70953174f6f1121c5021d4fe7a,Air,2021-08-05,2021-09-01,2021-09-16,Medium,Infected,used,42,High
Corn,Ludhiana,6486,0x9d307f3911c71a21dbb309cab9471227ba84e64542b783131b598424e945a0a1,Truck,2021-05-04,2021-05-24,2021-06-07,Low,Healthy,used,34,High
Lettuce,Bangalore,4264,0xd9a1ce3e19f53ac6b23f6413900459ad9fee53f29f81928bc920a387995de75d,Truck,2020-05-06,2020-05-17,2020-05-31,High,Infected,used,25,High
